symbol,name,category,type,exchange
MACFX,MFS Conservative Allocation Fun,N/A,Mutual Fund,NAS
AWTAX,AllianzGI Water Fund Class A,N/A,Mutual Fund,NAS
WGIFX,Capital World Growth and Income,N/A,Mutual Fund,NAS
AUEIX,AQR Large Cap Defensive Style F,N/A,Mutual Fund,NAS
WAPSX,Western Asset Core Plus Bond Fu,N/A,Mutual Fund,NAS
FTBRX,Fidelity Advisor Limited Term B,N/A,Mutual Fund,NAS
AMDVX,American Century Mid Cap Value,N/A,Mutual Fund,NAS
AMFFX,"American Mutual Fund, Class F-1",N/A,Mutual Fund,NAS
LHYAX,Lord Abbett Investment Trust Lo,N/A,Mutual Fund,NAS
PSHAX,PIMCO Fds Short-Term Cl A,N/A,Mutual Fund,NAS
CSIEX,Calvert Equity Fund Class A,N/A,Mutual Fund,NAS
ALARX,Alger Capital Appreciation Inst,N/A,Mutual Fund,NAS
AHSAX,Alger Health Sciences Fund Clas,N/A,Mutual Fund,NAS
LLDYX,Lord Abbett Inv Tr. Short Durat,N/A,Mutual Fund,NAS
TEMWX,Templeton World Fund Class A,N/A,Mutual Fund,NAS
RMFGX,"American Mutual Fund, Class R-6",N/A,Mutual Fund,NAS
CWGFX,American Funds Capital World Gr,N/A,Mutual Fund,NAS
ARTKX,Artisan International Value Fun,N/A,Mutual Fund,NAS
SOAEX,Spirit of America Energy Fund,N/A,Mutual Fund,NAS
TWBIX,American Century Balanced Inves,N/A,Mutual Fund,NAS
AGDYX,"AB High Income Fund, Inc. - Adv",N/A,Mutual Fund,NAS
ANBAX,American Funds Strategic Bond F,N/A,Mutual Fund,NAS
DGSIX,DFA Global Allocation 60/40 Por,N/A,Mutual Fund,NAS
PRGIX,T. Rowe Price Growth and Income,N/A,Mutual Fund,NAS
WHIAX,Ivy High Income Fund Class A,N/A,Mutual Fund,NAS
LADYX,Lord Abbett Developing Growth F,N/A,Mutual Fund,NAS
GABAX,Gabelli Asset Fund (The),N/A,Mutual Fund,NAS
FBLAX,Franklin Balanced Fund Class A,N/A,Mutual Fund,NAS
APHSX,Artisan Small Cap Fund Institut,N/A,Mutual Fund,NAS
RFFTX,American Funds 2035 Target Date,N/A,Mutual Fund,NAS
IGAAX,International Growth and Income,N/A,Mutual Fund,NAS
TOPPX,Tocqueville Opportunity Fd Cl A,N/A,Mutual Fund,NAS
AZNCX,AllianzGI Income Class and Grow,N/A,Mutual Fund,NAS
ABHYX,American Century High-Yield Mun,N/A,Mutual Fund,NAS
RPGAX,T. Rowe Price Global Allocation,N/A,Mutual Fund,NAS
EAFAX,Eaton Vance Floating-Rate Advan,N/A,Mutual Fund,NAS
JGIAX,JPMorgan Income Fund - A,N/A,Mutual Fund,NAS
CPTNX,American Century Government Bon,N/A,Mutual Fund,NAS
PGBOX,JPMorgan Core Bond A,N/A,Mutual Fund,NAS
MAMAX,MFS Moderate Allocation Fund -,N/A,Mutual Fund,NAS
JARIX,James Alpha Global Real Estate,N/A,Mutual Fund,NAS
BCHYX,American Century California Hig,N/A,Mutual Fund,NAS
NALFX,New Alternatives Fund- Class A,N/A,Mutual Fund,NAS
PBMFX,Pioneer AMT-Free Municipal Fund,N/A,Mutual Fund,NAS
FDETX,Fidelity Advisor Capital Develo,N/A,Mutual Fund,NAS
FANAX,Fidelity Advisor Energy Class A,N/A,Mutual Fund,NAS
ACGGX,American Century Global Gold Fd,N/A,Mutual Fund,NAS
FELAX,Fidelity Advisor Semiconductors,N/A,Mutual Fund,NAS
ADJEX,Azzad Ethical Fund,N/A,Mutual Fund,NAS
TWMIX,American Century Emerging Marke,N/A,Mutual Fund,NAS
TRAIX,T. Rowe Price Capital Appreciat,N/A,Mutual Fund,NAS
HMXIX,AlphaCentric Premium Opportunit,N/A,Mutual Fund,NAS
PAAIX,PIMCO All Asset Fund Institutio,N/A,Mutual Fund,NAS
GRIFX,Griffin Institutional Access Re,N/A,Mutual Fund,NAS
GBLAX,American Funds Global Balanced,N/A,Mutual Fund,NAS
MACSX,Matthews Asian Growth and Incom,N/A,Mutual Fund,NAS
RBFGX,"The Bond Fund of America, Class",N/A,Mutual Fund,NAS
MSAVX,Invesco American Value Fund Cl,N/A,Mutual Fund,NAS
LRSYX,Lord Abbett Research Fund Inc.,N/A,Mutual Fund,NAS
CSGEX,BlackRock Advantage Small Cap G,N/A,Mutual Fund,NAS
ANGIX,Angel Oak Multi-Strategy Income,N/A,Mutual Fund,NAS
AVUAX,American Century Mid Cap Value,N/A,Mutual Fund,NAS
MAPIX,Matthews Asia Dividend Fund Inv,N/A,Mutual Fund,NAS
RLBEX,American Balanced Fund Class R-,N/A,Mutual Fund,NAS
FSGFX,Strategic Advisers Growth Fund,N/A,Mutual Fund,NAS
FAIGX,Fidelity Advisor Balanced Fund,N/A,Mutual Fund,NAS
OGEAX,JPMorgan Equity Index Fund A,N/A,Mutual Fund,NAS
ITYAX,Invesco Technology Fd Cl A Shs,N/A,Mutual Fund,NAS
ACIIX,American Century Equity Income,N/A,Mutual Fund,NAS
USBLX,USAA Mutual Fds Tr Growth and T,N/A,Mutual Fund,NAS
KTCSX,DWS Science and Technology Fund,N/A,Mutual Fund,NAS
TAVFX,Third Avenue Value Fund Insti C,N/A,Mutual Fund,NAS
TAIFX,American Funds Tax-Aware Conser,N/A,Mutual Fund,NAS
PTRAX,PIMCO Funds Total Return Fund A,N/A,Mutual Fund,NAS
AMHYX,Invesco High Yield Fund Class A,N/A,Mutual Fund,NAS
BEQGX,American Century Equity Growth,N/A,Mutual Fund,NAS
FEPIX,Fidelity Advisor Total Bond Fun,N/A,Mutual Fund,NAS
ASYLX,"AB Cap Fund, Inc. - AB Select U",N/A,Mutual Fund,NAS
AASRX,American Beacon Small Cap Value,N/A,Mutual Fund,NAS
